type,entryIndex,entryTime,entryPrice,stopPrice,peak,activated,exitIndex,exitTime,exitPrice,grossPnlPct,netPnlPct,commissionPct,durationMinutes,reason
long,469,1777621740000,77095.49,76449.5,78133,true,754,1777638840000,77937.66750000001,1.0923823170460492,0.9923823170460492,0.05,285,trailing
short,951,1777650660000,78293.79,77831.71,78177.1,false,952,1777650720000,77831.71,0.590187293270625,0.49018729327062505,0.05,1,stop
short,973,1777651980000,78401.98,77840.03678571428,78390.33,false,974,1777652040000,77840.03678571428,0.7167462024373764,0.6167462024373764,0.05,1,stop
short,983,1777652580000,78283.12,77840.03678571428,78253.8,false,984,1777652640000,77840.03678571428,0.566000964557507,0.46600096455750706,0.05,1,stop
long,1057,1777657020000,78417.64,76198.57607142857,79721.94,true,4435,1777859700000,79522.63515,1.4091155382896023,1.3091155382896023,0.05,3378,trailing
short,4634,1777871640000,80145.09,78778.50571428571,80120.33,false,4635,1777871700000,78778.50571428571,1.7051378764616587,1.6051378764616586,0.05,1,stop
long,4886,1777886760000,79823.25,78019.26035714285,80900,true,5926,1777949160000,80697.75,1.0955454707744923,0.9955454707744923,0.05,1040,trailing
short,6141,1777962060000,80866.96,80766.81107142857,80823.52,false,6142,1777962120000,80766.81107142857,0.12384406260781192,0.02384406260781191,0.05,1,stop
long,6169,1777963740000,80935.19,78262.77892857142,82060,true,7786,1778060760000,81854.85,1.1362918898442118,1.0362918898442117,0.05,1617,trailing
short,7934,1778069640000,82200.47,81942.21964285715,82184.21,false,7935,1778069700000,81942.21964285715,0.31417138751500245,0.21417138751500245,0.05,1,stop
short,7974,1778072040000,82304.81,81942.21964285715,82164.61,false,7975,1778072100000,81942.21964285715,0.4405457677903027,0.34054576779030266,0.05,1,stop
long,8168,1778083680000,81768.47,80952.87214285714,81907.51,false,8706,1778115960000,80952.87214285714,-0.9974478636360162,-1.0974478636360163,0.05,538,stop
long,8739,1778117940000,81260.29,80959.40428571429,81284.67,false,8772,1778119920000,80959.40428571429,-0.3702739853447501,-0.47027398534475007,0.05,33,stop
long,8940,1778130000000,81035.16,80999.88392857143,81172.27,false,9008,1778134080000,80999.88392857143,-0.0435318094374944,-0.1435318094374944,0.05,68,stop
short,9024,1778135040000,80978.51,81886.43785714287,79699.52,true,9566,1778167560000,79898.7688,1.333367581102677,1.233367581102677,0.05,542,trailing
long,9715,1778176500000,79971.94,80974.2817857143,80093.18,false,9716,1778176560000,80974.2817857143,1.253366850565701,1.1533668505657009,0.05,1,stop
short,9804,1778181840000,79965.84,81903.47357142858,79181.48,false,14313,1778452380000,81903.47357142858,-2.423076618001614,-2.523076618001614,0.05,4509,stop
short,14419,1778458740000,81579.77,81219.99892857143,81414.66,false,14420,1778458800000,81219.99892857143,0.44100525342076663,0.3410052534207666,0.05,1,stop
short,14440,1778460000000,81690.19,81219.99892857143,81550.18,false,14441,1778460060000,81219.99892857143,0.5755783790300608,0.47557837903006084,0.05,1,stop
long,14723,1778476980000,80913.2,80280.19214285715,82100,true,15498,1778523480000,81894.75,1.2130900767736326,1.1130900767736325,0.05,775,trailing
long,15612,1778530320000,81925.13,80366.08714285714,81969.99,false,16763,1778599380000,80366.08714285714,-1.9030093173399467,-2.003009317339947,0.05,1151,stop
long,16883,1778606580000,80408.23,80430.24892857143,80437.57,false,16884,1778606640000,80430.24892857143,0.027383923973242005,-0.072616076026758,0.05,1,stop
long,16886,1778606760000,80401.3,80430.24892857143,80420,false,16887,1778606820000,80430.24892857143,0.036005547884701596,-0.06399445211529842,0.05,1,stop
short,17081,1778618460000,80657.05,81186.93,80412.15,false,17392,1778637120000,81186.93,-0.6569543517894469,-0.7569543517894469,0.05,311,stop
short,17598,1778649480000,81106,81174.74678571429,80889.12,false,17803,1778661780000,81174.74678571429,-0.0847616522998188,-0.1847616522998188,0.05,205,stop
short,17906,1778667960000,81061.92,81488.85392857144,79852,true,18041,1778676060000,80051.62999999999,1.2463188634071438,1.1463188634071437,0.05,135,trailing
long,18327,1778693220000,79370,80287.88785714285,79378.54,false,18328,1778693280000,80287.88785714285,1.1564669990460508,1.0564669990460507,0.05,1,stop
long,18330,1778693400000,79342.86,80287.88785714285,79342.86,false,18331,1778693460000,80287.88785714285,1.1910685563172916,1.0910685563172915,0.05,1,stop
short,18546,1778706360000,79591.25,81546.89678571429,78922,false,19690,1778775000000,81546.89678571429,-2.4571127928186645,-2.5571127928186645,0.05,1144,stop
short,19841,1778784060000,81500.01,80064.37142857142,81500,false,19842,1778784120000,80064.37142857142,1.7615195034068973,1.6615195034068972,0.05,1,stop
short,19845,1778784300000,81518.27,80064.37142857142,81518.27,false,19846,1778784360000,80064.37142857142,1.7835248115895745,1.6835248115895745,0.05,1,stop
short,19850,1778784600000,81518.3,80064.37142857142,81500,false,19851,1778784660000,80064.37142857142,1.7835609567772877,1.6835609567772876,0.05,1,stop
short,19853,1778784780000,81440.89,80064.37142857142,81440.88,false,19854,1778784840000,80064.37142857142,1.6902057080031618,1.5902057080031617,0.05,1,stop
short,19879,1778786340000,81594.8,80064.95785714286,81594.8,false,19880,1778786400000,80064.95785714286,1.874926028199279,1.774926028199279,0.05,1,stop
long,20013,1778794380000,81484.97,78957.625,81664.45,false,20991,1778853060000,78957.625,-3.1016087997577975,-3.2016087997577976,0.05,978,stop
long,21149,1778862540000,79312,78971.78928571429,79561.94,false,21477,1778882220000,78971.78928571429,-0.4289523833539856,-0.5289523833539856,0.05,328,stop
