type,entryIndex,entryTime,entryPrice,stopPrice,peak,activated,exitIndex,exitTime,exitPrice,grossPnlPct,netPnlPct,commissionPct,durationMinutes,reason
short,16590,1778589000000,80684.01,81151.43285714285,79843.59,false,17371,1778635860000,81151.43285714285,-0.5793252679717504,-0.6793252679717504,0.05,781,stop
short,17598,1778649480000,81106,81174.74678571429,80889.12,false,17803,1778661780000,81174.74678571429,-0.0847616522998188,-0.1847616522998188,0.05,205,stop
short,17906,1778667960000,81061.92,81488.85392857144,79852,true,18041,1778676060000,80051.62999999999,1.2463188634071438,1.1463188634071437,0.05,135,trailing
short,18546,1778706360000,79591.25,81546.89678571429,78922,false,19690,1778775000000,81546.89678571429,-2.4571127928186645,-2.5571127928186645,0.05,1144,stop
short,19841,1778784060000,81500.01,80064.37142857142,81500,false,19842,1778784120000,80064.37142857142,1.7615195034068973,1.6615195034068972,0.05,1,stop
short,19845,1778784300000,81518.27,80064.37142857142,81518.27,false,19846,1778784360000,80064.37142857142,1.7835248115895745,1.6835248115895745,0.05,1,stop
short,19850,1778784600000,81518.3,80064.37142857142,81500,false,19851,1778784660000,80064.37142857142,1.7835609567772877,1.6835609567772876,0.05,1,stop
short,19853,1778784780000,81440.89,80064.37142857142,81440.88,false,19854,1778784840000,80064.37142857142,1.6902057080031618,1.5902057080031617,0.05,1,stop
short,19879,1778786340000,81594.8,80064.95785714286,81594.8,false,19880,1778786400000,80064.95785714286,1.874926028199279,1.774926028199279,0.05,1,stop
short,20047,1778796420000,81399.56,80065.38642857142,81399.56,false,20048,1778796480000,80065.38642857142,1.639042731224315,1.539042731224315,0.05,1,stop
short,20102,1778799720000,81395.1,80062.94678571429,81362.16,false,20103,1778799780000,80062.94678571429,1.6366503810250466,1.5366503810250465,0.05,1,stop
short,20249,1778808540000,81390.19,80073.95607142858,81272.14,false,20250,1778808600000,80073.95607142858,1.6171898954547546,1.5171898954547545,0.05,1,stop
short,20261,1778809260000,81357.37,80073.95607142858,81357.36,false,20262,1778809320000,80073.95607142858,1.5775017414788841,1.477501741478884,0.05,1,stop
short,20264,1778809440000,81385.65,80073.95607142858,81341.78,false,20265,1778809500000,80073.95607142858,1.6117017294466751,1.511701729446675,0.05,1,stop
long,20806,1778841960000,80617.62,79013.06357142857,80776.33,false,20990,1778853000000,79013.06357142857,-1.9903296929026446,-2.0903296929026447,0.05,184,stop
long,21149,1778862540000,79312,78971.78928571429,79561.94,false,21477,1778882220000,78971.78928571429,-0.4289523833539856,-0.5289523833539856,0.05,328,stop
long,21518,1778884680000,79129.99,79010.18535714285,79227.77,false,21698,1778895480000,79010.18535714285,-0.1514023227567124,-0.25140232275671237,0.05,180,stop
long,21712,1778896320000,79119.43,78825.66178571428,79211.77,false,21981,1778912460000,78825.66178571428,-0.37129718235546993,-0.4712971823554699,0.05,269,stop
long,22295,1778931300000,78186.25,78721.62535714285,78191.98,false,22296,1778931360000,78721.62535714285,0.6847436181462256,0.5847436181462257,0.05,1,stop
long,22465,1778941500000,78049.99,78718.57464285714,78050,false,22466,1778941560000,78718.57464285714,0.856610798870235,0.756610798870235,0.05,1,stop
long,22471,1778941860000,78040.03,78718.57464285714,78044.14,false,22472,1778941920000,78718.57464285714,0.8694828062689685,0.7694828062689685,0.05,1,stop
long,22714,1778956440000,78234.6,78703.01821428571,78234.61,false,22715,1778956500000,78703.01821428571,0.5987353604232687,0.4987353604232687,0.05,1,stop
long,22723,1778956980000,78271.36,78703.01821428571,78271.36,false,22724,1778957040000,78703.01821428571,0.5514893497260145,0.4514893497260145,0.05,1,stop
long,22730,1778957400000,78262.32,78703.01821428571,78271.36,false,22731,1778957460000,78703.01821428571,0.5631039487274353,0.4631039487274353,0.05,1,stop
long,22735,1778957700000,78257.95,78703.01821428571,78257.96,false,22736,1778957760000,78703.01821428571,0.5687194902060574,0.4687194902060574,0.05,1,stop
long,22744,1778958240000,78250.21,78706.05214285714,78250.21,false,22745,1778958300000,78706.05214285714,0.5825443060882916,0.4825443060882916,0.05,1,stop
long,22753,1778958780000,78241.95,78706.05214285714,78241.96,false,22754,1778958840000,78706.05214285714,0.5931628018692534,0.49316280186925343,0.05,1,stop
long,22758,1778959080000,78247.43,78706.05214285714,78251.33,false,22759,1778959140000,78706.05214285714,0.5861178352530485,0.4861178352530485,0.05,1,stop
long,22764,1778959440000,78246,78706.05214285714,78256,false,22765,1778959500000,78706.05214285714,0.5879561164240183,0.48795611642401837,0.05,1,stop
long,22794,1778961240000,78280.43,78706.05214285714,78280.43,false,22795,1778961300000,78706.05214285714,0.5437146204449111,0.44371462044491117,0.05,1,stop
long,22940,1778970000000,78273.76,78739.98392857143,78275.81,false,22941,1778970060000,78739.98392857143,0.5956324681111925,0.49563246811119255,0.05,1,stop
long,23012,1778974320000,78249.44,78743.12857142858,78249.45,false,23013,1778974380000,78743.12857142858,0.6309164275534425,0.5309164275534425,0.05,1,stop
long,23076,1778978160000,78228.38,78757.14892857143,78228.39,false,23077,1778978220000,78757.14892857143,0.6759297950071694,0.5759297950071695,0.05,1,stop
long,23236,1778987760000,78000,78752.64142857143,78000.76,false,23237,1778987820000,78752.64142857143,0.9649249084249066,0.8649249084249067,0.05,1,stop
long,23243,1778988180000,78010.51,78752.64142857143,78010.52,false,23244,1778988240000,78752.64142857143,0.9513223648601099,0.8513223648601099,0.05,1,stop
long,23249,1778988540000,78000.75,78752.64142857143,78000.76,false,23250,1778988600000,78752.64142857143,0.9639541011739339,0.8639541011739339,0.05,1,stop
long,23485,1779002700000,78142.1,77906.10857142857,78599.99,false,23896,1779027360000,77906.10857142857,-0.302002926170954,-0.402002926170954,0.05,411,stop
long,24025,1779035100000,78111.71,77893.86357142858,78193.66,false,24073,1779037980000,77893.86357142858,-0.2788908712553201,-0.37889087125532006,0.05,48,stop
long,24104,1779039840000,78049.99,77895.43000000001,78485.36,false,24411,1779058260000,77895.43000000001,-0.19802693120139755,-0.29802693120139756,0.05,307,stop
long,24704,1779075840000,77002.71,77803.86535714286,77002.71,false,24705,1779075900000,77803.86535714286,1.0404248852317692,0.9404248852317693,0.05,1,stop
long,24729,1779077340000,76987.55,77803.09392857144,77000,false,24730,1779077400000,77803.09392857144,1.0593192387229342,0.9593192387229342,0.05,1,stop
long,24731,1779077460000,76976,77803.09392857144,76983.3,false,24732,1779077520000,77803.09392857144,1.0744828629331755,0.9744828629331755,0.05,1,stop
long,24771,1779079860000,76967,77803.09392857144,76989.76,false,24772,1779079920000,77803.09392857144,1.0863018287986295,0.9863018287986295,0.05,1,stop
long,24888,1779086880000,76940.53,77805.65214285714,76940.54,false,24889,1779086940000,77805.65214285714,1.1244036697656545,1.0244036697656544,0.05,1,stop
long,24895,1779087300000,76921.13,77805.65214285714,76931.94,false,24896,1779087360000,77805.65214285714,1.1499078898829729,1.0499078898829728,0.05,1,stop
long,24900,1779087600000,76973.43,77797.93642857144,76984.88,false,24901,1779087660000,77797.93642857144,1.0711571883589532,0.9711571883589533,0.05,1,stop
long,24913,1779088380000,76950.4,77797.93642857144,76964,false,24914,1779088440000,77797.93642857144,1.1014061376827748,1.0014061376827748,0.05,1,stop
long,25048,1779096480000,76974.97,77793.78321428572,76984.92,false,25049,1779096540000,77793.78321428572,1.0637395692206457,0.9637395692206457,0.05,1,stop
long,25066,1779097560000,76981,77793.78321428572,76984.45,false,25067,1779097620000,77793.78321428572,1.0558231437441996,0.9558231437441996,0.05,1,stop
long,25173,1779103980000,76899.99,77794.98642857143,76957.66,false,25174,1779104040000,77794.98642857143,1.1638446618412084,1.0638446618412083,0.05,1,stop
long,25502,1779123720000,76477.45,77791.83,76544.69,false,25503,1779123780000,77791.83,1.7186503995622302,1.6186503995622301,0.05,1,stop
long,25621,1779130860000,76685.99,77776.0375,76815.71,false,25622,1779130920000,77776.0375,1.4214428215636266,1.3214428215636265,0.05,1,stop
long,26150,1779162600000,76859.99,76420.5475,77317.02,false,26779,1779200340000,76420.5475,-0.5717441545334635,-0.6717441545334635,0.05,629,stop
long,26905,1779207900000,76599.97,76387.985,77635.52,true,27905,1779267900000,77441.4312,1.0985137461542154,0.9985137461542154,0.05,1000,trailing
long,28105,1779279900000,77509.25,76438.68071428571,78200,false,31365,1779475500000,76438.68071428571,-1.3812148688244124,-1.4812148688244124,0.05,3260,stop
long,31816,1779502560000,75536.72,76938.83607142857,75541.03,false,31817,1779502620000,76938.83607142857,1.8562046001316514,1.7562046001316514,0.05,1,stop
long,32314,1779532440000,74787.95,76995.1025,74787.95,false,32315,1779532500000,76995.1025,2.9512140659023234,2.8512140659023233,0.05,1,stop
long,32317,1779532620000,74781.31,76995.1025,74781.32,false,32318,1779532680000,76995.1025,2.9603553347754885,2.8603553347754884,0.05,1,stop
long,32436,1779539760000,74750,76998.95749999999,74750,false,32437,1779539820000,76998.95749999999,3.008638795986608,2.908638795986608,0.05,1,stop
long,32460,1779541200000,74876,77009.03607142856,74920,false,32461,1779541260000,77009.03607142856,2.8487580418673053,2.748758041867305,0.05,1,stop
long,32755,1779558900000,75503.54,77030.50785714286,75522,false,32756,1779558960000,77030.50785714286,2.02237915883529,1.92237915883529,0.05,1,stop
long,32761,1779559260000,75509.33,77028.75821428571,75510.49,false,32762,1779559320000,77028.75821428571,2.0122390362697056,1.9122390362697055,0.05,1,stop
long,32764,1779559440000,75509.38,77028.75821428571,75562,false,32765,1779559500000,77028.75821428571,2.012171486887733,1.912171486887733,0.05,1,stop
long,33061,1779577260000,76572.26,75152.28571428571,77650,true,34930,1779689400000,77455.875,1.1539622834692425,1.0539622834692424,0.05,1869,trailing
long,35034,1779695640000,77361.8,76357.22249999999,78080,false,36931,1779809460000,76357.22249999999,-1.2985446305541157,-1.3985446305541158,0.05,1897,stop
short,37224,1779827040000,76045.95,77817.46357142857,74866.18,true,38272,1779889920000,75053.34545,1.3052694456443816,1.2052694456443815,0.05,1048,trailing
short,38405,1779897900000,75226.67,76358.94107142858,74165.73,true,38957,1779931020000,74351.14432499999,1.1638501013005251,1.063850101300525,0.05,552,trailing
short,38964,1779931440000,74462,76420.62714285715,73360.36,true,39105,1779939900000,73543.7609,1.2331647014584703,1.1331647014584703,0.05,141,trailing
short,39503,1779963780000,73367.59,76415.39071428572,72290,true,45358,1780315080000,72470.72499999999,1.22242668731521,1.12242668731521,0.05,5855,trailing
short,45795,1780341300000,71421.99,74340.9375,70286.34,true,46206,1780365960000,70462.05584999999,1.3440316490761675,1.2440316490761674,0.05,411,trailing
short,46327,1780373220000,70906.78,74266.80428571429,69958.49,true,46500,1780383600000,70133.386225,1.0907190751011457,0.9907190751011458,0.05,173,trailing
short,47410,1780438200000,67284,72017.16142857143,66363.27,true,47452,1780440720000,66529.178175,1.1218444578205908,1.0218444578205907,0.05,42,trailing
short,47580,1780448400000,66884.01,72057.79321428572,65800,true,47743,1780458180000,65964.5,1.3747830011986344,1.2747830011986343,0.05,163,trailing
short,48010,1780474200000,67115.38,72058.45178571428,66144,true,48470,1780501800000,66309.36,1.2009467874576647,1.1009467874576646,0.05,460,trailing
short,48668,1780513680000,65952.03,67602.3257142857,64766,true,48775,1780520100000,64927.91499999999,1.5528180103023443,1.4528180103023443,0.05,107,trailing
short,49271,1780549860000,63747.99,67831.95,62850,true,49527,1780565220000,63007.125,1.162177819253592,1.062177819253592,0.05,256,trailing
short,49901,1780587660000,63822,67835.5907142857,62944.91,true,50027,1780595220000,63102.272275,1.1277110165773512,1.027711016577351,0.05,126,trailing
short,50153,1780602780000,63608.01,64950.57535714286,62620,true,50551,1780626660000,62776.549999999996,1.3071624155511332,1.2071624155511331,0.05,398,trailing
short,50744,1780638240000,62893.14,63994.07785714285,62027.78,true,50763,1780639380000,62182.849449999994,1.1293609287117883,1.0293609287117882,0.05,19,trailing
short,50935,1780649700000,62328.05,64159.404642857146,61260.7,true,51229,1780667340000,61413.851749999994,1.4667525295593373,1.3667525295593372,0.05,294,trailing
short,51445,1780680300000,60731.99,64274.19642857143,59800.52,true,51523,1780684980000,59950.02129999999,1.2875729907747218,1.1875729907747217,0.05,78,trailing
short,51794,1780701240000,61308,64272.45821428571,60280,true,52091,1780719060000,60430.7,1.4309714882234015,1.3309714882234014,0.05,297,trailing
short,52422,1780738920000,61094.48,64154.77785714286,60239,true,52470,1780741800000,60389.597499999996,1.1537580809264714,1.0537580809264713,0.05,48,trailing
short,52587,1780748820000,60790.09,61339.49785714286,60393.96,false,53348,1780794480000,61339.49785714286,-0.9037786539596533,-1.0037786539596534,0.05,761,stop
short,53643,1780812180000,61662.74,61216.129642857144,61619.4,false,53644,1780812240000,61216.129642857144,0.7242791305460217,0.6242791305460217,0.05,1,stop
short,53654,1780812840000,61678.01,61216.129642857144,61678.01,false,53655,1780812900000,61216.129642857144,0.7488574244578545,0.6488574244578545,0.05,1,stop
short,53881,1780826460000,62416.52,61246.591785714285,62388.76,false,53882,1780826520000,61246.591785714285,1.8743887263912054,1.7743887263912053,0.05,1,stop
short,53896,1780827360000,62444.77,61246.591785714285,62410.25,false,53897,1780827420000,61246.591785714285,1.918780731013521,1.818780731013521,0.05,1,stop
short,53898,1780827480000,62429.08,61246.591785714285,62389.68,false,53899,1780827540000,61246.591785714285,1.8941304505620087,1.7941304505620086,0.05,1,stop
short,54009,1780834140000,62429.81,61251.6225,62212.1,false,54010,1780834200000,61251.6225,1.8872194229006944,1.7872194229006944,0.05,1,stop
short,54409,1780858140000,62122.65,61267.81392857143,62090,false,54410,1780858200000,61267.81392857143,1.3760457279729272,1.2760457279729271,0.05,1,stop
short,54574,1780868040000,61732.01,61277.91642857143,61680.22,false,54575,1780868100000,61277.91642857143,0.7355885081800727,0.6355885081800727,0.05,1,stop
short,54576,1780868160000,61742.65,61277.91642857143,61742.65,false,54577,1780868220000,61277.91642857143,0.7526945659581712,0.6526945659581712,0.05,1,stop
short,54580,1780868400000,61732.01,61277.91642857143,61722,false,54581,1780868460000,61277.91642857143,0.7355885081800727,0.6355885081800727,0.05,1,stop
short,54584,1780868640000,61710,61277.91642857143,61710,false,54585,1780868700000,61277.91642857143,0.7001840405583719,0.6001840405583719,0.05,1,stop
short,54586,1780868760000,61724.8,61277.91642857143,61720.01,false,54587,1780868820000,61277.91642857143,0.7239935510987062,0.6239935510987062,0.05,1,stop
short,54589,1780868940000,61720.94,61277.91642857143,61666.23,false,54590,1780869000000,61277.91642857143,0.7177848740290955,0.6177848740290955,0.05,1,stop
